Ticker;Value;Bazin Profit;Graham Profit
CALI3;25;0,059259057777777624;-1
GPAR3;47;-1;-0,8706915003019513
VSTE3;6,7;-1;-1
AMBP3;268,51;-0,9890015819812215;-1
CLSA3;9,92;-1;-1
LOGN3;20;-1;-1
DOHL3;8;-0,7875000000000001;-1
RAIL3;19,01;-0,9750691185925536;-1
CBEE3;12;-0,801774537037037;-1
MGEL4;6,99;-1;-1
PTBL3;3,91;1,3743413043478259;-1
HAPV3;2,61;-0,8670115368241805;-1
DOHL4;3,98;-0,5301507537688441;-1
ALPK3;2,5;-1;-1
MAPT4;5;-1;-1
NGRD3;26,81;-0,7820279539143768;-1
MSPA3;47;-0,9934495271867613;-1
AURA33;24,67;-0,2543129554564699;-1
MAPT3;3,8;-1;-1
AESB3;8,12;-0,7685183908045976;-1
ANIM3;1,91;-1;-1
BIOM3;7,66;-1;-1
DTCY3;4,37;-1;-1
ESPA3;0,81;-1;-1
RCSL3;5,42;-1;-1
ZAMP3;2,64;-1;-1
SIMH3;3,71;0,29332499251272837;-1
CSNA3;10,69;2,3579187766344463;-1
VVEO3;1,89;1,0074057025279246;-1
CVCB3;1,96;-1;-1
RPAD5;9,09;-1;-0,18494542750310883
CASH3;2,95;-1;-1
MRVE3;5,03;0,14385395405345713;-1
LIGT3;4,25;-0,09179239215686263;-1
QUAL3;2,11;5,336597630331753;-1
AALR3;10,26;-1;-1
RPAD3;6,8;-0,9994281045751634;0,08953618588187373
GFSA3;1,29;-1;18,040675483743506
RPAD6;6,22;-0,999312254376563;0,19113280771651797
ENJU3;1,18;-1;-1
HBSA3;2,84;-1;-1
CRPG5;21,45;3,0823010619010622;-1
CRPG6;21,48;3,0765997439478587;-1
BLUT3;5,14;-1;-1
CBAV3;5,98;-1;-1
COGN3;1,12;-1;-1
KRSA3;6,72;-1;-1
NORD3;6,6;-1;-1
EPAR3;6,41;4,100962359161032;-1
TELB3;13,01;-1;-1
MATD3;3,95;-0,7828884950773558;-1
PDTC3;1,21;-1;-1
MOVI3;4,21;1,7584574425969914;-1
